2019-05-04 00:48:12,352 DEBUG:__main__:Start pplot module
2019-05-04 02:03:23,189 DEBUG:__main__:Start pplot module
2019-05-04 02:03:23,799 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:03:23,871 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:03:24,010 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:03:24,265 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:03:26,253 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:03:27,132 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:03:28,024 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:03:28,906 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:03:29,746 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:03:31,870 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:06:01,351 DEBUG:__main__:Start pplot module
2019-05-04 02:06:01,770 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:06:01,824 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:06:01,902 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:06:02,035 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:06:02,873 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:06:03,304 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:06:03,699 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:06:04,078 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:06:04,446 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:06:05,396 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:06:44,442 DEBUG:__main__:Start pplot module
2019-05-04 02:06:45,034 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:06:45,108 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:06:45,246 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:06:45,515 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:06:47,569 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:06:48,463 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:06:49,358 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:06:50,253 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:06:51,099 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:06:53,235 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:07:09,453 DEBUG:__main__:Start pplot module
2019-05-04 02:07:10,003 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:07:10,076 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:07:10,214 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:07:10,473 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:07:12,479 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:07:13,404 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:07:14,299 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:07:15,201 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:07:16,055 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:07:18,194 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:08:06,890 DEBUG:__main__:Start pplot module
2019-05-04 02:08:07,492 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:08:07,563 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:08:07,700 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:08:07,960 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:08:09,962 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:08:10,844 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:08:11,734 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:08:12,651 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:08:14,648 DEBUG:__main__:Start pplot module
2019-05-04 02:08:15,028 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:08:15,084 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:08:15,164 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:08:15,301 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:08:16,160 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:08:16,590 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:08:16,975 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:08:17,343 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:08:17,709 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:08:18,651 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:09:20,871 DEBUG:__main__:Start pplot module
2019-05-04 02:09:21,292 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:09:21,354 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:09:21,445 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:09:21,592 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:09:22,471 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:09:22,901 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:09:23,287 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:09:23,660 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:09:24,030 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:09:24,984 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:10:41,498 DEBUG:__main__:Start pplot module
2019-05-04 02:10:42,079 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:10:42,153 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:10:42,289 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:10:42,563 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:10:44,625 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:10:45,529 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:10:46,442 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:10:47,355 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:10:48,198 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:10:50,327 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:12:39,620 DEBUG:__main__:Start pplot module
2019-05-04 02:12:40,175 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:12:40,246 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:12:40,384 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:12:40,642 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:12:42,663 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:12:43,590 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:12:44,507 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:12:45,409 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:12:46,269 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:12:48,413 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:15:15,266 DEBUG:__main__:Start pplot module
2019-05-04 02:15:15,664 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:15:15,717 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:15:15,795 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:15:15,924 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:15:16,759 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:15:17,176 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:15:17,561 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:15:17,928 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:15:18,299 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:15:19,265 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:17:42,771 DEBUG:__main__:Start pplot module
2019-05-04 02:17:43,187 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:17:43,241 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:17:43,322 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:17:43,454 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:17:44,321 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:17:44,757 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:17:45,151 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:17:45,520 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:17:45,884 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:17:46,836 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:18:36,560 DEBUG:__main__:Start pplot module
2019-05-04 02:18:36,945 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:18:37,004 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:18:37,087 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:18:37,221 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:18:38,068 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:18:38,492 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:18:38,872 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:18:39,237 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:18:39,602 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:18:40,544 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:25:34,326 DEBUG:__main__:Start pplot module
2019-05-04 02:25:34,766 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:25:34,819 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:25:34,897 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:25:35,026 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:25:35,866 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:25:36,286 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:25:36,668 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:25:37,038 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:25:37,405 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:25:38,350 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:33:19,980 DEBUG:__main__:Start pplot module
2019-05-04 02:33:20,363 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:33:20,418 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:33:20,496 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:33:20,625 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:33:21,454 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:33:21,863 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:33:22,245 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:33:22,607 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:33:22,967 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:33:23,899 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:34:13,406 DEBUG:__main__:Start pplot module
2019-05-04 02:34:13,812 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:34:13,866 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:34:13,943 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:34:14,072 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:34:14,894 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:34:15,303 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:34:15,684 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:34:16,051 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:34:16,411 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:34:17,348 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:34:48,331 DEBUG:__main__:Start pplot module
2019-05-04 02:34:48,723 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:34:48,782 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:34:48,866 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:34:49,000 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:34:49,847 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:34:50,266 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:34:50,649 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:34:51,009 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:34:51,378 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:34:52,308 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:37:25,668 DEBUG:__main__:Start pplot module
2019-05-04 02:37:26,057 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:37:26,110 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:37:26,189 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:37:26,320 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:37:27,152 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:37:27,568 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:37:27,951 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:37:28,326 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:37:28,702 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:37:29,657 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:38:34,783 DEBUG:__main__:Start pplot module
2019-05-04 02:38:35,236 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:38:35,287 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:38:35,364 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:38:35,492 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:38:36,311 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:38:36,723 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:38:37,100 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:38:37,465 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:38:37,835 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:38:38,854 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:42:04,769 DEBUG:__main__:Start pplot module
2019-05-04 02:42:05,151 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:42:05,205 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:42:05,284 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:42:05,412 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:42:06,238 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:42:06,649 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:42:07,032 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:42:07,396 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:42:07,760 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:42:08,696 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:43:18,281 DEBUG:__main__:Start pplot module
2019-05-04 02:43:18,685 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:43:18,739 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:43:18,817 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:43:18,947 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:43:19,783 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:43:20,206 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:43:20,597 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:43:20,971 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:43:21,344 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:43:22,291 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:43:52,899 DEBUG:__main__:Start pplot module
2019-05-04 02:43:53,284 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:43:53,337 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:43:53,415 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:43:53,545 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:43:54,379 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:43:54,798 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:43:55,185 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:43:55,554 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:43:55,924 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:43:56,872 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:44:10,450 DEBUG:__main__:Start pplot module
2019-05-04 02:44:10,822 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:44:10,876 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:44:10,955 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:44:11,085 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:44:11,939 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:44:12,358 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:44:12,743 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:44:13,107 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:44:13,472 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:44:14,416 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:44:42,847 DEBUG:__main__:Start pplot module
2019-05-04 02:44:43,250 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:44:43,306 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:44:43,392 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:44:43,522 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:44:44,359 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:44:44,782 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:44:45,175 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:44:45,551 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:44:45,935 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:44:46,881 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:44:58,518 DEBUG:__main__:Start pplot module
2019-05-04 02:44:58,911 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:44:58,965 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:44:59,043 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:44:59,173 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:45:00,029 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:45:00,449 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:45:00,839 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:45:01,208 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:45:01,570 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:45:02,509 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:45:20,789 DEBUG:__main__:Start pplot module
2019-05-04 02:45:21,199 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:45:21,253 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:45:21,333 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:45:21,468 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:45:22,324 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:45:22,743 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:45:23,129 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:45:23,498 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:45:23,871 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:45:24,829 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:46:08,396 DEBUG:__main__:Start pplot module
2019-05-04 02:46:08,955 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:46:09,028 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:46:09,168 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:46:09,434 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:46:11,474 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:46:12,369 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:46:13,265 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:46:14,161 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:46:15,013 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:46:17,205 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:50:32,454 DEBUG:__main__:Start pplot module
2019-05-04 02:50:33,080 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:50:33,154 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:50:33,293 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:50:33,556 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:50:36,009 DEBUG:__main__:Start pplot module
2019-05-04 02:50:36,397 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:50:36,452 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:50:36,530 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:50:36,658 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:50:37,541 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:50:37,984 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:50:38,387 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:50:38,767 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:50:39,153 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:50:40,147 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:50:58,959 DEBUG:__main__:Start pplot module
